,index,method,acc,fairness,task
0,0,PlugIn,0.8895375573659676,0.5108299109556362,NNcensus
1,1,SCross,0.8995404210458343,0.503055086548082,NNcensus
2,2,AUC,0.8952990604020826,0.6194043705011372,NNcensus
3,3,DPWA,0.8187118621209477,0.01542132689759354,NNcensus
4,4,IFAC,0.795735065503715,0.01535929971874854,NNcensus
5,0,PlugIn,0.891558635617819,0.5066057845647152,XGBcensus
6,1,SCross,0.8910667407742293,0.515167374106969,XGBcensus
7,2,AUC,0.8924306555592073,0.6036514990559825,XGBcensus
8,3,DPWA,0.8191531931418542,0.01773899034402854,XGBcensus
9,4,IFAC,0.7990124502462157,0.02523711217572373,XGBcensus
10,0,PlugIn,0.8920580406668475,0.5145998820906523,RFcensus
11,1,SCross,0.8912241059571576,0.5108822481644223,RFcensus
12,2,AUC,0.864396845718774,0.6612023427616077,RFcensus
13,3,DPWA,0.8136860780525437,0.01537701717197505,RFcensus
14,4,IFAC,0.7927528590957427,0.0166495236358801,RFcensus
15,0,PlugIn,0.8650303740069594,0.4902393999603426,NNincome
16,1,SCross,0.8801353349526699,0.396873736235377,NNincome
17,2,AUC,0.8374256007582754,0.5440410910914124,NNincome
18,3,DPWA,0.8406362529901827,0.08154569053138888,NNincome
19,4,IFAC,0.8123994037009454,0.07500515794918558,NNincome
20,0,PlugIn,0.8753476593416932,0.4017705423810504,XGBincome
21,1,SCross,0.8755408882068325,0.4028156079306237,XGBincome
22,2,AUC,0.8341472292123775,0.5516112507968116,XGBincome
23,3,DPWA,0.8350865293311307,0.09998466738044601,XGBincome
24,4,IFAC,0.7990745631827473,0.05983718973052361,XGBincome
25,0,PlugIn,0.8535390990332459,0.4062990942440964,RFincome
26,1,SCross,0.8584995324406008,0.3954704658415191,RFincome
27,2,AUC,0.8024652519259627,0.4933118063669119,RFincome
28,3,DPWA,0.8180642048037423,0.08133098783307686,RFincome
29,4,IFAC,0.7787048141388293,0.06260883693509425,RFincome
30,0,PlugIn,0.8525894380952522,0.03741164908685114,NNmortgage
31,1,SCross,0.8576460617852446,0.0,NNmortgage
32,2,AUC,0.8094670922937193,0.119937234716799,NNmortgage
33,3,DPWA,0.8507265471152412,0.0003996239813306302,NNmortgage
34,4,IFAC,0.8234497091544057,0.01364691368213698,NNmortgage
35,0,PlugIn,0.8474623161738652,0.03469811729458936,XGBmortgage
36,1,SCross,0.8584595266281847,0.009379100377949597,XGBmortgage
37,2,AUC,0.7847923771197372,0.1281506555874732,XGBmortgage
38,3,DPWA,0.8313793386972886,0.00428829769045667,XGBmortgage
39,4,IFAC,0.8196060908916429,0.01562603028750359,XGBmortgage
40,0,PlugIn,0.8406798705107613,0.05041082221335828,RFmortgage
41,1,SCross,0.8451152056431654,0.04408285862898356,RFmortgage
42,2,AUC,0.7626699099075811,0.1309771229864995,RFmortgage
43,3,DPWA,0.8253483735619895,0.009576586310496165,RFmortgage
44,4,IFAC,0.7935587619080466,0.02110893375943513,RFmortgage
45,0,PlugIn,0.7329882882653993,0.07911998893365797,NNoulad
46,1,SCross,0.7333624661237189,0.04820630671702765,NNoulad
47,2,AUC,0.7086697283651001,0.1213909446047009,NNoulad
48,3,DPWA,0.7336858470734515,0.01754002085269515,NNoulad
49,4,IFAC,0.7085703041385922,0.0268357697278794,NNoulad
50,0,PlugIn,0.7232345131164224,0.1557088872036672,XGBoulad
51,1,SCross,0.7303348480567422,0.1682079943042253,XGBoulad
52,2,AUC,0.6898248859719583,0.1726181057730639,XGBoulad
53,3,DPWA,0.7264202296469542,0.007755120571993712,XGBoulad
54,4,IFAC,0.6911615902591726,0.04770313266546445,XGBoulad
55,0,PlugIn,0.714726584253354,0.1560771768708494,RFoulad
56,1,SCross,0.7200152809902887,0.1467575274615991,RFoulad
57,2,AUC,0.6844174856497593,0.2099768859481499,RFoulad
58,3,DPWA,0.7182054689052625,0.007243855979174518,RFoulad
59,4,IFAC,0.6845296428386322,0.02762686083829506,RFoulad
60,0,PlugIn,0.660431317786882,0.3008325831568979,NNrecidivism
61,1,SCross,0.6591048713621886,0.2493592774932079,NNrecidivism
62,2,AUC,0.6641786448819713,0.2560979354414778,NNrecidivism
63,3,DPWA,0.6681739352570074,0.04428971083483323,NNrecidivism
64,4,IFAC,0.6567750512999688,0.05500567495736262,NNrecidivism
65,0,PlugIn,0.6625718355253107,0.2804316875812561,XGBrecidivism
66,1,SCross,0.6581114210455501,0.2527283023810442,XGBrecidivism
67,2,AUC,0.6557616131006647,0.236889794757892,XGBrecidivism
68,3,DPWA,0.6569143390687168,0.04859742954912312,XGBrecidivism
69,4,IFAC,0.6406392074239364,0.08551408462527058,XGBrecidivism
70,0,PlugIn,0.6422930162617417,0.2259108783862824,RFrecidivism
71,1,SCross,0.6451264289518934,0.1700660507279263,RFrecidivism
72,2,AUC,0.6388304630334704,0.2252314837376956,RFrecidivism
73,3,DPWA,0.6482532781942048,0.04352056995507013,RFrecidivism
74,4,IFAC,0.6391488535207611,0.03799958666375353,RFrecidivism
